string,string,string,boolean (optional),boolean (optional),boolean (optional),integer,int (optional),string (optional),integer (optional),"enum(""TWF"", ""MTh"", ""M"", ""T"", ""W"", ""Th"", ""F"") (optional)",custom (optional)
fall,ENGR110,Design and Communication I,,,,1,100,Static Prof 1,100,TWF,8:30~9:20
fall,ENGR130,Introduction to Professional Practice,,,,1,101,Static Prof 2,100,MTh,8:30~9:50
spring,ENGR130,Introduction to Professional Practice,,,,1,101,Static Prof 2,140,TWF,8:30~9:20
fall,MATH100,Calculus I,,,,1,102,Static Prof 3,60,TWF,9:30~10:20
spring,MATH100,Calculus I,,,,1,102,Static Prof 3,120,MTh,8:30~9:50
summer,MATH100,Calculus I,,,,1,102,Static Prof 3,140,TWF,8:30~9:20
fall,MATH109,Introduciton to Calculus,,,,1,103,Static Prof 4,100,MTh,10:00~11:20
spring,MATH109,Introduciton to Calculus,,,,1,103,Static Prof 4,100,TWF,9:30~10:20
summer,MATH109,Introduciton to Calculus,,,,1,103,Static Prof 4,80,MTh,8:30~9:50
fall,MATH110,Matrix Algebra for Engineers,,,,1,104,Static Prof 5,120,TWF,10:30~11:20
fall,PHYS110,Introductory Physics,,,,1,105,Static Prof 6,120,MTh,11:30~12:50
spring,PHYS110,Introductory Physics,,,,1,105,Static Prof 6,100,MTh,10:00~11:20
spring,ENGR120,Design and Communication II,,,,1,106,Static Prof 7,120,TWF,10:30~11:20
spring,ENGR141,Engineering Mechanics,,,,1,107,Static Prof 8,80,MTh,11:30~12:50
summer,ENGR141,Engineering Mechanics,,,,1,107,Static Prof 8,120,TWF,9:30~10:20
fall,MATH101,Calculus II,,,,1,108,Static Prof 9,100,TWF,11:30~12:20
spring,MATH101,Calculus II,,,,1,108,Static Prof 9,140,TWF,11:30~12:20
summer,MATH101,Calculus II,,,,1,108,Static Prof 9,60,MTh,10:00~11:20
spring,PHYS111,Introductory Physics II,,,,1,109,Static Prof 10,80,MTh,13:00~14:20
summer,PHYS111,Introductory Physics II,,,,1,109,Static Prof 10,80,TWF,10:30~11:20
fall,CHEM101,Properties of Materials,,,,2,110,Static Prof 11,60,,
summer,CHEM101,Properties of Materials,,,,2,110,Static Prof 11,140,,
fall,MATH122,Logic and Foundations,,,,2,111,Static Prof 12,140,,
spring,MATH122,Logic and Foundations,,,,2,111,Static Prof 12,120,,
summer,MATH122,Logic and Foundations,,,,2,111,Static Prof 12,100,,
fall,STAT260,Introduction to Probability and Statistics I,,,,2,112,Static Prof 13,120,,
spring,STAT260,Introduction to Probability and Statistics I,,,,2,112,Static Prof 13,140,,
summer,STAT260,Introduction to Probability and Statistics I,,,,2,112,Static Prof 13,120,,
fall,ECON180,Introduction to Principles of Microeconomics and Financial Project Evaluation,,,,2,113,Static Prof 14,140,,
summer,ECON180,Introduction to Principles of Microeconomics and Financial Project Evaluation,,,,2,113,Static Prof 14,120,,
